"","ensembl_gene_id","external_gene_name","chromosome_name","transcript_biotype"
"139","ENSDARG00000098029","","23","protein_coding"
"140","ENSDARG00000059773","SRCIN1","3","protein_coding"
"141","ENSDARG00000095453","si:rp71-17i16.6","23","protein_coding"
"142","ENSDARG00000056740","tmeff1b","24","protein_coding"
"143","ENSDARG00000033446","","12","protein_coding"
"144","ENSDARG00000099899","","4","protein_coding"
"145","ENSDARG00000077253","alkbh6","5","protein_coding"
"146","ENSDARG00000105063","","4","protein_coding"
"147","ENSDARG00000100694","","6","protein_coding"
"148","ENSDARG00000093799","SETBP1","5","protein_coding"
"149","ENSDARG00000052851","golph3a","5","protein_coding"
"150","ENSDARG00000009844","dusp23a","20","protein_coding"
"151","ENSDARG00000018871","henmt1","20","protein_coding"
"152","ENSDARG00000102608","zgc:109986","17","protein_coding"
"153","ENSDARG00000003818","prkag1","6","protein_coding"
"154","ENSDARG00000019156","haus5","8","protein_coding"
"155","ENSDARG00000038615","pip4p1a","2","protein_coding"
"156","ENSDARG00000092774","","18","protein_coding"
"157","ENSDARG00000087457","","21","protein_coding"
"158","ENSDARG00000034734","med6","13","protein_coding"
"159","ENSDARG00000079283","","21","protein_coding"
"160","ENSDARG00000021913","","20","protein_coding"
"161","ENSDARG00000105120","GAB2","15","protein_coding"
"162","ENSDARG00000102929","C7H19orf12","7","protein_coding"
"163","ENSDARG00000073688","NAV2","7","protein_coding"
"164","ENSDARG00000090814","","10","protein_coding"
"165","ENSDARG00000027141","ube2l3b","5","protein_coding"
"166","ENSDARG00000102434","","11","protein_coding"
"167","ENSDARG00000052142","ACVR1B","6","protein_coding"
"168","ENSDARG00000093111","","22","protein_coding"
"169","ENSDARG00000069758","rbm44","9","protein_coding"
"170","ENSDARG00000039218","GPR101","14","protein_coding"
"171","ENSDARG00000010717","chchd10","21","protein_coding"
"172","ENSDARG00000020449","yipf3","13","protein_coding"
"173","ENSDARG00000038792","klf17","2","protein_coding"
"174","ENSDARG00000017163","sinup","4","protein_coding"
"175","ENSDARG00000044015","GFRA2","10","protein_coding"
"176","ENSDARG00000101456","acp5b","24","protein_coding"
"177","ENSDARG00000076801","","14","protein_coding"
"178","ENSDARG00000003206","chchd6a","23","protein_coding"
"179","ENSDARG00000078686","arl8a","22","protein_coding"
"180","ENSDARG00000017835","brf1a","13","protein_coding"
"181","ENSDARG00000044318","","6","protein_coding"
"182","ENSDARG00000076025","DGKZ","25","protein_coding"
"183","ENSDARG00000009253","rtraf","17","protein_coding"
"184","ENSDARG00000062549","acmsd","9","protein_coding"
"185","ENSDARG00000037262","","1","protein_coding"
"186","ENSDARG00000075855","","1","protein_coding"
"187","ENSDARG00000037555","atoh8","14","protein_coding"
"188","ENSDARG00000038976","pdcd7","7","protein_coding"
"189","ENSDARG00000039349","QRFPR","13","protein_coding"
"190","ENSDARG00000036588","mhc1zba","1","protein_coding"
"191","ENSDARG00000098257","pcdh15a","13","protein_coding"
"192","ENSDARG00000059351","hnrnpa3","9","protein_coding"
"193","ENSDARG00000078717","ITGA8","16","protein_coding"
"194","ENSDARG00000024219","cdk5rap2","21","protein_coding"
"195","ENSDARG00000102612","slc15a4","8","protein_coding"
"196","ENSDARG00000075818","","8","protein_coding"
"197","ENSDARG00000063006","cacng7a","19","protein_coding"
"198","ENSDARG00000097115","","17","protein_coding"
"199","ENSDARG00000055560","P2RY8","9","protein_coding"
"200","ENSDARG00000024771","slc24a5","18","protein_coding"
"201","ENSDARG00000052846","fsta","5","protein_coding"
"202","ENSDARG00000092855","SRBD1","13","protein_coding"
"203","ENSDARG00000014024","ms4a17a.4","4","protein_coding"
"204","ENSDARG00000100531","abhd14b","6","protein_coding"
"205","ENSDARG00000101319","si:ch73-299h12.6","21","protein_coding"
"206","ENSDARG00000055445","slc22a15","17","protein_coding"
"207","ENSDARG00000089750","si:dkey-26g8.5","12","protein_coding"
"208","ENSDARG00000078529","ADGRB1","19","protein_coding"
"209","ENSDARG00000091169","tor4ab","5","protein_coding"
"210","ENSDARG00000052010","ciao2b","7","protein_coding"
"211","ENSDARG00000098075","sh3bgrl3","19","protein_coding"
"212","ENSDARG00000093164","","22","protein_coding"
"213","ENSDARG00000069595","","1","protein_coding"
"214","ENSDARG00000093621","","10","protein_coding"
"215","ENSDARG00000045070","itgb3b","12","protein_coding"
"216","ENSDARG00000055901","steap4","16","protein_coding"
"217","ENSDARG00000093608","ccl34b.1","24","protein_coding"
"218","ENSDARG00000023111","plg","20","protein_coding"
"219","ENSDARG00000020197","rpl5a","2","protein_coding"
"220","ENSDARG00000040930","deptor","16","protein_coding"
"221","ENSDARG00000099685","gnb5a","25","protein_coding"
"222","ENSDARG00000051729","","25","protein_coding"
"223","ENSDARG00000098514","","4","protein_coding"
"224","ENSDARG00000077778","adamts9","11","protein_coding"
"225","ENSDARG00000057227","MATCAP2","19","protein_coding"
"226","ENSDARG00000043431","b3gntl1","1","protein_coding"
"227","ENSDARG00000029905","phyhd1","21","protein_coding"
"228","ENSDARG00000077082","agtrap","11","protein_coding"
"229","ENSDARG00000077581","zzz3","2","protein_coding"
"230","ENSDARG00000018593","parp16","25","protein_coding"
"231","ENSDARG00000079455","nlgn4xa","1","protein_coding"
"232","ENSDARG00000071648","zgc:113298","22","protein_coding"
"233","ENSDARG00000097225","","16","protein_coding"
"234","ENSDARG00000097063","","17","protein_coding"
"235","ENSDARG00000094616","","9","protein_coding"
"236","ENSDARG00000002509","zgc:153911","13","protein_coding"
"237","ENSDARG00000027826","pudp","1","protein_coding"
"238","ENSDARG00000010408","","8","protein_coding"
"239","ENSDARG00000054031","MXD4","1","protein_coding"
"240","ENSDARG00000062987","tyw1","15","protein_coding"
"241","ENSDARG00000004296","ambp","10","protein_coding"
"242","ENSDARG00000039880","arpp19b","25","protein_coding"
"243","ENSDARG00000035860","rps28","2","protein_coding"
"244","ENSDARG00000041078","chka","18","protein_coding"
"245","ENSDARG00000023298","rps27.1","19","protein_coding"
"246","ENSDARG00000104332","","7","protein_coding"
"247","ENSDARG00000075112","tacr3a","1","protein_coding"
"248","ENSDARG00000002219","","13","protein_coding"
"249","ENSDARG00000098889","","5","protein_coding"
"250","ENSDARG00000079391","mrpl42","4","protein_coding"
"251","ENSDARG00000074306","wu:fa26c03","12","protein_coding"
"252","ENSDARG00000096588","","1","protein_coding"
"253","ENSDARG00000040021","ebag9","16","protein_coding"
"254","ENSDARG00000036893","f13a1b","7","protein_coding"
"255","ENSDARG00000013266","colec11","17","protein_coding"
"256","ENSDARG00000042937","","1","protein_coding"
"257","ENSDARG00000111173","","25","protein_coding"
"258","ENSDARG00000094473","","8","protein_coding"
"259","ENSDARG00000071377","hsd11b1la","22","protein_coding"
"260","ENSDARG00000025671","grm6b","11","protein_coding"
"261","ENSDARG00000035018","thy1","5","protein_coding"
"262","ENSDARG00000039173","","12","protein_coding"
"263","ENSDARG00000037196","","12","protein_coding"
"264","ENSDARG00000032264","mybl2b","11","protein_coding"
"265","ENSDARG00000025325","CCSAP","1","protein_coding"
"266","ENSDARG00000054184","btr06","7","protein_coding"
"267","ENSDARG00000056331","ahcyl1","8","protein_coding"
"268","ENSDARG00000102080","mif4gda","6","protein_coding"
"269","ENSDARG00000069888","cldna","15","protein_coding"
"270","ENSDARG00000038363","drd4a","25","protein_coding"
"271","ENSDARG00000010472","atp1a2a","2","protein_coding"
"272","ENSDARG00000040643","ccr10","24","protein_coding"
"273","ENSDARG00000075673","ARHGAP21","2","protein_coding"
"274","ENSDARG00000017422","apmap","13","protein_coding"
"275","ENSDARG00000097032","","25","protein_coding"
"276","ENSDARG00000092535","","18","protein_coding"
"277","ENSDARG00000063390","pvrl2l","19","protein_coding"
"278","ENSDARG00000026403","HEPH","10","protein_coding"
"279","ENSDARG00000062108","IFFO1","16","protein_coding"
"280","ENSDARG00000076830","","5","protein_coding"
"281","ENSDARG00000042726","GRB7","24","protein_coding"
"282","ENSDARG00000075030","stx10","11","protein_coding"
"283","ENSDARG00000103155","ext1a","16","protein_coding"
"284","ENSDARG00000019235","sema3aa","4","protein_coding"
"285","ENSDARG00000075952","mbd2","5","protein_coding"
"286","ENSDARG00000055472","nubp1","3","protein_coding"
"287","ENSDARG00000088293","DOC2B","5","protein_coding"
"288","ENSDARG00000101050","TMC8","11","protein_coding"
"289","ENSDARG00000030867","opn7c","8","protein_coding"
"290","ENSDARG00000053383","rprma","9","protein_coding"
"291","ENSDARG00000056921","ankk1","15","protein_coding"
"292","ENSDARG00000042057","TRMT1L","20","protein_coding"
"293","ENSDARG00000105459","H3C15","7","protein_coding"
"294","ENSDARG00000100906","si:dkey-23a13.20","7","protein_coding"
"295","ENSDARG00000088764","lyplal1","16","protein_coding"
"296","ENSDARG00000033754","rbm48","19","protein_coding"
"297","ENSDARG00000002184","igbp1","5","protein_coding"
"298","ENSDARG00000093450","","22","protein_coding"
"299","ENSDARG00000015681","gsk3ab","16","protein_coding"
"300","ENSDARG00000105359","","7","protein_coding"
"301","ENSDARG00000079665","GPR158","2","protein_coding"
"302","ENSDARG00000021702","pdcd4a","1","protein_coding"
"303","ENSDARG00000070846","dazap1","11","protein_coding"
"304","ENSDARG00000070507","trpc4a","10","protein_coding"
"305","ENSDARG00000009754","zc3h11a","11","protein_coding"
"306","ENSDARG00000077124","","12","protein_coding"
"307","ENSDARG00000067828","","18","protein_coding"
"308","ENSDARG00000004184","NF1","10","protein_coding"
"309","ENSDARG00000063155","dcaf12","21","protein_coding"
"310","ENSDARG00000096606","","1","protein_coding"
"311","ENSDARG00000033444","map4k6","21","protein_coding"
"312","ENSDARG00000088861","","4","protein_coding"
"313","ENSDARG00000079453","ATP8B4","25","protein_coding"
"314","ENSDARG00000042825","rnf169","15","protein_coding"
"315","ENSDARG00000060036","aimp1a","1","protein_coding"
"316","ENSDARG00000020926","creb3l3l","8","protein_coding"
"317","ENSDARG00000104656","","16","protein_coding"
"318","ENSDARG00000019098","cd82a","7","protein_coding"
"319","ENSDARG00000016897","","24","protein_coding"
"320","ENSDARG00000037962","psmb7","21","protein_coding"
"321","ENSDARG00000003533","COL8A1","22","protein_coding"
"322","ENSDARG00000015566","dnmt3ab","17","protein_coding"
"323","ENSDARG00000115281","","25","protein_coding"
"324","ENSDARG00000114405","zgc:194989","25","protein_coding"
"325","ENSDARG00000020788","sla2b","23","protein_coding"
"326","ENSDARG00000098428","asic1c","24","protein_coding"
"327","ENSDARG00000069245","matn3a","20","protein_coding"
"328","ENSDARG00000004597","LRRC4B","3","protein_coding"
"329","ENSDARG00000009350","atg3","6","protein_coding"
"330","ENSDARG00000010956","sh3glb1b","2","protein_coding"
"331","ENSDARG00000098260","","6","protein_coding"
"332","ENSDARG00000099535","","14","protein_coding"
"333","ENSDARG00000100139","","10","protein_coding"
"334","ENSDARG00000076966","pagr1","12","protein_coding"
"335","ENSDARG00000042252","eif4h","15","protein_coding"
"336","ENSDARG00000042151","skia","8","protein_coding"
"337","ENSDARG00000018898","zfand5a","5","protein_coding"
"338","ENSDARG00000004274","zgc:112496","24","protein_coding"
"339","ENSDARG00000018008","mdh1b","1","protein_coding"
"340","ENSDARG00000103802","","6","protein_coding"
"341","ENSDARG00000052164","ZNF507","7","protein_coding"
"342","ENSDARG00000071548","josd1","12","protein_coding"
"343","ENSDARG00000046141","zgc:162025","8","protein_coding"
"344","ENSDARG00000036080","cd81a","7","protein_coding"
"345","ENSDARG00000041802","rnf141","18","protein_coding"
"346","ENSDARG00000071679","mydgf","22","protein_coding"
"347","ENSDARG00000079438","PKP3","7","protein_coding"
"348","ENSDARG00000086457","tnfaip8l1","22","protein_coding"
"349","ENSDARG00000032552","marchf5","13","protein_coding"
"350","ENSDARG00000101910","pcdh20","14","protein_coding"
"351","ENSDARG00000058815","ihhb","6","protein_coding"
"352","ENSDARG00000013076","bmi1b","2","protein_coding"
"353","ENSDARG00000044626","ccdc90b","21","protein_coding"
"354","ENSDARG00000015862","rpl5b","6","protein_coding"
"355","ENSDARG00000014790","g3bp2a","1","protein_coding"
"356","ENSDARG00000071396","timm23a","12","protein_coding"
"357","ENSDARG00000061791","nyx","9","protein_coding"
"358","ENSDARG00000068993","zgc:153631","8","protein_coding"
"359","ENSDARG00000075072","RPAP1","17","protein_coding"
"360","ENSDARG00000056531","nutf2","18","protein_coding"
"361","ENSDARG00000011240","ift46","10","protein_coding"
"362","ENSDARG00000061185","nat15","3","protein_coding"
"363","ENSDARG00000095132","","4","protein_coding"
"364","ENSDARG00000059423","prune2","5","protein_coding"
"365","ENSDARG00000036787","tap2a","19","protein_coding"
"366","ENSDARG00000079221","","15","protein_coding"
"367","ENSDARG00000045857","cebpz","20","protein_coding"
"368","ENSDARG00000077299","yars2","25","protein_coding"
"369","ENSDARG00000033134","ndufaf7","20","protein_coding"
"370","ENSDARG00000004433","BTK","14","protein_coding"
"371","ENSDARG00000002994","","21","protein_coding"
"372","ENSDARG00000022177","ddx59","22","protein_coding"
"373","ENSDARG00000036382","ponzr6","7","protein_coding"
"374","ENSDARG00000030311","tmc2b","5","protein_coding"
"375","ENSDARG00000003420","chrna5","18","protein_coding"
"376","ENSDARG00000060124","timm17b","8","protein_coding"
"377","ENSDARG00000045874","yeats4","4","protein_coding"
"378","ENSDARG00000075666","","14","protein_coding"
"379","ENSDARG00000044895","fmoda","11","protein_coding"
"380","ENSDARG00000041546","gypc","9","protein_coding"
"381","ENSDARG00000045691","zcrb1","4","protein_coding"
"382","ENSDARG00000098652","PCDH11Y","14","protein_coding"
"383","ENSDARG00000100468","","22","protein_coding"
"384","ENSDARG00000101459","","4","protein_coding"
"385","ENSDARG00000017675","utp4","18","protein_coding"
"386","ENSDARG00000089513","pimr187","15","protein_coding"
"387","ENSDARG00000096118","ost4","4","protein_coding"
"388","ENSDARG00000087814","MFRP","15","protein_coding"
"389","ENSDARG00000101715","arsg","12","protein_coding"
"390","ENSDARG00000095555","","1","protein_coding"
"391","ENSDARG00000022918","tbcc","12","protein_coding"
"392","ENSDARG00000068602","dalrd3","8","protein_coding"
"393","ENSDARG00000002912","adipor1a","11","protein_coding"
"394","ENSDARG00000103395","","19","protein_coding"
"395","ENSDARG00000079377","ARHGEF38","1","protein_coding"
"396","ENSDARG00000016345","ncoa5","6","protein_coding"
"397","ENSDARG00000091317","","10","protein_coding"
"398","ENSDARG00000096726","","4","protein_coding"
"399","ENSDARG00000070847","trim35-20","22","protein_coding"
"400","ENSDARG00000096678","","12","protein_coding"
"401","ENSDARG00000004034","arhgdig","3","protein_coding"
"402","ENSDARG00000000474","","23","protein_coding"
"403","ENSDARG00000054597","cnot6l","5","protein_coding"
"404","ENSDARG00000058695","DDR2","2","protein_coding"
"405","ENSDARG00000012467","spint1b","20","protein_coding"
"406","ENSDARG00000073950","","16","protein_coding"
"407","ENSDARG00000067566","sftpbb","5","protein_coding"
"408","ENSDARG00000058696","tbl1xr1a","11","protein_coding"
"409","ENSDARG00000007383","kcnk6","18","protein_coding"
"410","ENSDARG00000063036","PSD2","14","protein_coding"
"411","ENSDARG00000093079","proca","2","protein_coding"
"412","ENSDARG00000019004","smarcd1","22","protein_coding"
"413","ENSDARG00000073704","","21","protein_coding"
"414","ENSDARG00000057887","NTS","18","protein_coding"
"415","ENSDARG00000045378","pi15a","24","protein_coding"
"416","ENSDARG00000043757","PTBP3","10","protein_coding"
"417","ENSDARG00000017537","","1","protein_coding"
"418","ENSDARG00000094146","","20","protein_coding"
"419","ENSDARG00000012942","itgb5","9","protein_coding"
"420","ENSDARG00000068934","cyp1b1","13","protein_coding"
"421","ENSDARG00000104129","","7","protein_coding"
"422","ENSDARG00000074156","","12","protein_coding"
"423","ENSDARG00000052019","","1","protein_coding"
"424","ENSDARG00000058587","terb1","18","protein_coding"
"425","ENSDARG00000017860","rgs5b","2","protein_coding"
"426","ENSDARG00000075996","znfl1b","9","protein_coding"
"427","ENSDARG00000067507","kctd8","14","protein_coding"
"428","ENSDARG00000070644","ttpal","23","protein_coding"
"429","ENSDARG00000037935","aldh16a1","3","protein_coding"
"430","ENSDARG00000043664","BDKRB2","20","protein_coding"
"431","ENSDARG00000101047","rtcb","4","protein_coding"
"432","ENSDARG00000005754","ptprfb","2","protein_coding"
"433","ENSDARG00000101217","fam78aa","5","protein_coding"
"434","ENSDARG00000062142","stoml1","25","protein_coding"
"435","ENSDARG00000088402","","9","protein_coding"
"436","ENSDARG00000052361","il15","1","protein_coding"
"437","ENSDARG00000004580","nmnat2","2","protein_coding"
"438","ENSDARG00000078558","","1","protein_coding"
"439","ENSDARG00000087469","F2R","21","protein_coding"
"440","ENSDARG00000038066","kpna2","3","protein_coding"
"441","ENSDARG00000001933","","2","protein_coding"
"442","ENSDARG00000055713","FMNL1","3","protein_coding"
"443","ENSDARG00000040352","crot","16","protein_coding"
"444","ENSDARG00000040705","GLS","9","protein_coding"
"445","ENSDARG00000095863","afp4","16","protein_coding"
"446","ENSDARG00000040985","itgbl1","9","protein_coding"
"447","ENSDARG00000020610","tnnt2a","23","protein_coding"
"448","ENSDARG00000093781","","18","protein_coding"
"449","ENSDARG00000035471","","5","protein_coding"
"450","ENSDARG00000116254","","8","protein_coding"
"451","ENSDARG00000074166","BIRC6","17","protein_coding"
"452","ENSDARG00000091633","","20","protein_coding"
"453","ENSDARG00000096359","eppk1","19","protein_coding"
"454","ENSDARG00000002333","fam102bb","20","protein_coding"
"455","ENSDARG00000070626","CACNG8","16","protein_coding"
"456","ENSDARG00000071143","","22","protein_coding"
"457","ENSDARG00000052701","","6","protein_coding"
"458","ENSDARG00000058127","hcfc2","4","protein_coding"
"459","ENSDARG00000100823","selenok","8","protein_coding"
"460","ENSDARG00000055855","kcnc3a","3","protein_coding"
"461","ENSDARG00000043697","nefmb","8","protein_coding"
"462","ENSDARG00000077609","ELFN2","22","protein_coding"
"463","ENSDARG00000054331","ccn4a","19","protein_coding"
"464","ENSDARG00000038793","ccdc24","2","protein_coding"
"465","ENSDARG00000063677","CCNY","24","protein_coding"
"466","ENSDARG00000076748","ntn2","24","protein_coding"
"467","ENSDARG00000001559","","19","protein_coding"
"468","ENSDARG00000044059","lft2","17","protein_coding"
"469","ENSDARG00000008200","ugp2b","17","protein_coding"
"470","ENSDARG00000024189","pnocb","20","protein_coding"
"471","ENSDARG00000103498","epd","5","protein_coding"
"472","ENSDARG00000059459","C5H2orf68","5","protein_coding"
"473","ENSDARG00000042000","si:ch211-63o20.7","20","protein_coding"
"474","ENSDARG00000010601","mtmr10","7","protein_coding"
"475","ENSDARG00000078474","MYO15A","1","protein_coding"
"476","ENSDARG00000057863","dnmt3bb.3","23","protein_coding"
"477","ENSDARG00000013110","dmtn","10","protein_coding"
"478","ENSDARG00000098228","thrap3b","19","protein_coding"
"479","ENSDARG00000038967","cul3a","2","protein_coding"
"480","ENSDARG00000009372","diras1b","2","protein_coding"
"481","ENSDARG00000021811","calm1a","17","protein_coding"
"482","ENSDARG00000036064","cnep1r1","7","protein_coding"
"483","ENSDARG00000077040","RIN2","6","protein_coding"
"484","ENSDARG00000098934","rrp7a","3","protein_coding"
"485","ENSDARG00000110915","","8","protein_coding"
"486","ENSDARG00000005772","tsr2","8","protein_coding"
"487","ENSDARG00000103226","dhcr7","2","protein_coding"
"488","ENSDARG00000021590","magi2a","4","protein_coding"
"489","ENSDARG00000101190","cyp2k8","3","protein_coding"
"490","ENSDARG00000033950","","23","protein_coding"
"491","ENSDARG00000005271","ZC3H12A","16","protein_coding"
"492","ENSDARG00000094370","si:ch211-125e6.13","9","protein_coding"
"493","ENSDARG00000070755","","16","protein_coding"
"494","ENSDARG00000021369","mc3r","8","protein_coding"
"495","ENSDARG00000009748","dffb","8","protein_coding"
"496","ENSDARG00000096546","nrp2a","1","protein_coding"
"497","ENSDARG00000044264","","6","protein_coding"
"498","ENSDARG00000002194","rhd","13","protein_coding"
"499","ENSDARG00000101222","LSM10","19","protein_coding"
"500","ENSDARG00000069199","zgc:172120","13","protein_coding"
"501","ENSDARG00000057869","cdc42l2","23","protein_coding"
"502","ENSDARG00000103024","zgc:175136","19","protein_coding"
"503","ENSDARG00000016811","ints3","19","protein_coding"
"504","ENSDARG00000006370","atp6v1h","2","protein_coding"
